,Transaction_ID,Transaction_Date,Store_ID,Number_of_EMI,Purchased_in_Sale,Var1,Var2,Var3,Client_ID,Gender,DOB,Referred_Friend,Sales_Executive_ID,Sales_Executive_Category,Lead_Source_Category,Payment_Mode,Product_Category,result
33,162,12,64,3,0,1,0,0,346143750,1,9903,0,1242,1,0,0,1,45
34,46,12,95,2,0,1,1,0,346142648,1,2300,0,2020,0,3,2,1,45
35,70,12,17,1,1,2,0,0,346142836,0,7138,0,4272,0,3,1,1,45
36,113,12,17,2,0,1,0,0,346143367,1,10241,1,5276,1,2,3,1,45
37,24,12,28,8,0,3,0,0,346142592,1,12002,0,4286,0,3,4,1,45
38,106,12,56,2,0,1,0,0,346143317,0,4463,1,400,0,3,2,1,45
39,10,12,20,2,0,1,1,0,346142468,0,10365,0,4343,0,3,2,1,45
40,142,12,61,3,0,1,0,0,346143606,1,2227,0,1292,1,0,2,1,45
41,155,12,44,3,0,1,0,0,346143690,1,11785,0,3976,1,0,0,1,45
42,112,12,23,2,0,1,0,0,346143366,1,3690,0,2068,0,3,2,1,45
43,65,12,35,2,0,1,0,0,346142794,1,3248,0,2937,0,3,2,1,45
44,182,12,35,8,0,3,0,0,346143913,1,9588,0,4485,0,3,4,1,45
45,84,12,96,3,0,1,0,0,346143022,0,2910,0,1244,1,0,0,1,45
46,176,12,94,3,0,3,0,0,346143878,0,2738,1,1240,1,0,2,1,45
47,50,12,93,1,1,2,1,0,346142665,1,7414,0,209,1,2,3,1,45
48,129,12,1,2,0,1,1,0,346143541,0,960,0,104,1,0,2,1,45
49,99,12,9,2,0,1,1,0,346143232,1,8938,0,8,2,1,2,1,45
50,174,12,9,2,0,1,1,0,346143818,1,10363,0,375,1,0,2,1,45
51,23,12,34,2,0,1,0,0,346142590,1,10203,0,3364,2,3,2,1,45
52,18,12,64,8,0,3,0,0,346142479,1,924,1,551,0,3,0,1,45
53,4,12,64,2,0,1,0,0,346078720,0,6043,1,2497,0,3,1,1,45
54,131,12,96,3,0,1,0,0,345995137,0,10363,0,1238,1,0,0,1,45
55,135,12,32,3,0,1,0,0,346143554,1,8973,0,1219,1,0,0,1,45
56,72,12,33,2,0,1,1,0,346142874,1,9780,0,112,1,0,2,1,45
57,33,12,63,2,0,1,0,0,346118093,0,4560,0,2350,0,3,2,1,45
58,198,12,189,3,0,1,0,0,346143977,0,1339,0,4537,0,3,2,1,45
59,110,12,203,1,1,2,0,0,346101555,0,720,0,5275,0,3,1,1,45
60,31,12,6,2,0,1,0,0,346142607,1,10449,0,1925,4,0,0,1,45
61,151,12,9,2,0,1,1,0,346143662,1,1691,0,216,1,0,2,1,45
62,6,12,10,2,0,1,0,0,346142459,1,10362,0,5260,0,3,2,1,45
63,60,12,26,2,0,1,0,0,346142716,0,4265,0,1540,0,3,2,1,45
64,173,12,55,3,0,1,1,0,346143810,1,10988,0,1225,1,0,0,1,45
65,42,12,54,3,0,1,0,0,346142638,0,7028,0,1936,1,0,3,1,45
66,133,12,28,3,0,1,0,0,346143546,1,9983,0,1264,1,0,0,1,45
67,8,12,21,1,1,2,0,0,346142464,1,11818,0,2348,0,3,0,1,45
68,166,12,15,3,0,1,0,0,346143791,0,10054,1,124,1,0,1,1,45
69,55,12,29,3,0,1,0,0,346142696,1,3485,0,1284,1,0,0,1,45
70,1,12,81,2,0,1,0,0,346142444,1,3591,0,2277,0,3,2,1,45
71,3,12,73,3,0,1,0,0,346142447,1,958,0,3501,1,0,0,1,45
72,158,12,16,2,0,1,0,0,346143713,1,8644,1,9,1,2,3,1,45
73,193,12,175,1,1,2,0,0,346143955,1,4620,1,4677,2,3,2,1,45
74,64,12,0,2,0,1,0,0,346142793,1,2510,0,8,2,1,0,1,45
75,91,12,20,2,0,1,1,0,346143089,1,10829,0,344,1,0,2,1,45
76,120,12,51,3,0,1,0,0,346143495,1,3946,0,1243,1,0,2,1,45
77,66,12,42,3,0,1,0,0,346142817,1,9286,0,1248,1,0,0,1,45
78,127,12,88,3,0,3,1,0,346143538,1,10630,0,2412,1,0,4,1,45
79,57,12,106,1,1,2,0,0,346142709,1,10089,0,310,1,2,1,1,45
80,188,12,189,3,0,1,0,0,346143941,1,8116,0,2542,0,3,2,1,45
81,35,12,11,2,0,1,0,0,345936536,1,12292,0,3007,0,3,1,1,45
82,180,12,13,3,0,1,0,0,346143899,1,9897,0,1246,1,0,0,1,45
83,63,12,19,3,0,1,0,0,346142791,1,10909,0,8,2,1,2,1,45
84,197,12,107,1,1,2,0,0,345988392,1,11425,1,1449,0,3,1,1,45
85,47,12,37,2,0,1,1,0,346142650,1,8892,0,1913,0,3,2,1,45
86,27,12,18,3,0,1,0,0,346142601,1,9734,0,1220,1,0,0,1,45
87,15,12,7,3,0,1,0,0,346142472,0,8081,0,2,1,0,0,1,45
88,78,12,54,2,0,1,1,0,346142929,0,11779,0,8,2,1,2,1,45
89,49,12,86,2,0,1,1,0,346142653,0,3900,0,4216,0,3,2,1,45
90,184,12,28,2,0,1,0,1,346143925,1,7408,0,5282,0,3,2,1,45
91,67,12,51,3,0,1,0,0,346142818,1,1867,0,1260,1,0,2,1,45
92,144,12,31,3,0,1,0,0,346143614,0,10827,0,2015,1,0,0,1,45
93,128,12,88,3,0,1,1,0,346143539,1,4301,0,2412,1,0,0,1,45
94,148,12,36,2,0,1,1,0,346143644,1,8968,0,1549,1,0,2,1,45
95,156,12,6,2,0,1,1,0,346143693,1,32,1,1925,4,0,3,1,45
96,196,12,35,3,0,1,0,0,346143972,1,3413,0,1314,1,0,2,1,45
97,190,12,32,1,1,2,0,0,346143949,0,11016,1,5283,0,3,2,1,45
98,71,12,18,2,0,1,0,0,346142872,1,2143,0,3035,0,3,1,1,45
99,125,12,7,3,0,1,0,0,346143528,0,8415,1,1222,1,0,3,1,45
100,165,12,11,2,0,1,1,0,346143787,1,9468,0,8,2,1,2,1,45
101,80,12,11,2,0,1,0,0,346142932,1,5144,0,134,1,0,2,1,45
102,130,12,64,3,0,1,0,0,346143543,1,952,0,1242,1,0,0,1,45
103,2,12,84,2,0,1,0,0,346142446,0,647,0,8,2,1,2,1,45
104,163,12,37,1,1,2,0,0,346143762,0,7530,1,685,0,3,2,1,45
105,69,12,32,2,0,1,0,0,346142835,1,10905,0,2829,4,0,2,1,45
106,87,12,48,3,0,1,0,0,346143065,1,9976,0,3555,1,0,0,1,45
107,153,12,74,2,0,1,0,0,346142287,1,1437,0,145,1,2,1,1,45
108,124,12,159,3,0,1,1,0,346140041,1,8024,0,5202,2,3,2,1,45
109,73,12,0,2,0,3,0,0,346142876,1,4487,0,8,2,1,1,1,45
110,45,12,29,3,0,1,1,0,346142646,0,4551,0,1284,1,0,3,1,45
111,154,12,26,2,0,1,0,0,346143675,1,2289,0,421,4,0,0,1,45
112,126,12,98,3,0,1,0,0,346143537,1,11384,0,1278,1,0,2,1,45
113,187,12,120,1,1,2,0,0,346143932,0,9975,1,2397,0,3,1,1,45
114,139,12,63,2,0,1,1,0,346143589,1,9934,0,546,1,0,2,1,45
115,194,12,122,2,0,1,0,0,346086754,0,1971,0,490,1,2,0,1,45
116,150,12,24,2,0,3,0,0,346143660,1,6985,0,8,2,1,4,1,45
117,172,12,80,2,0,1,0,0,346142615,1,12357,1,4187,0,3,2,1,45
118,39,12,10,8,0,3,0,0,346142628,1,7991,0,1473,0,3,4,1,45
119,40,12,11,2,0,1,0,0,346142634,0,11695,0,2359,0,3,2,1,45
120,26,12,219,1,1,2,0,0,346142595,1,10352,0,5263,2,3,0,1,45
121,102,12,9,2,0,1,1,0,346143299,0,10351,0,340,1,0,2,1,45
122,161,12,39,2,0,1,0,0,346143746,0,3030,0,159,1,0,2,1,45
123,12,12,55,2,0,1,1,0,346142470,0,9889,0,3755,0,3,2,1,45
124,105,12,96,8,0,3,0,0,346143316,0,11265,0,2251,0,3,4,1,45
125,76,12,88,2,0,1,0,0,346142917,1,9659,1,2377,0,3,3,1,45
126,160,12,48,2,0,1,0,0,346143729,1,7746,0,4111,1,0,1,1,45
127,61,12,209,2,0,1,0,0,346142731,0,1289,0,2695,0,3,2,1,45
128,164,12,0,2,0,1,0,0,346143776,1,121,0,8,2,1,0,1,45
129,44,12,11,2,0,1,1,0,346142644,1,121,0,39,1,0,2,1,45
130,43,12,20,2,0,1,1,0,346142640,0,7925,0,855,0,3,1,1,45
131,118,12,155,2,0,1,0,0,346143467,1,12283,0,3910,0,3,2,1,45
132,185,12,7,2,0,1,0,0,345926878,1,5249,0,2509,0,3,2,1,45
133,38,12,9,2,0,1,0,0,346142627,1,9887,0,8,2,1,2,1,45
134,29,12,55,2,0,1,0,0,346142604,1,10349,0,3038,0,3,2,1,45
135,16,12,2,2,0,1,0,0,346142478,1,7651,1,505,0,3,2,1,45
136,159,12,9,2,0,1,0,0,346143724,1,9886,0,8,2,1,2,1,45
137,37,12,10,2,0,1,0,0,346142626,1,12206,0,1840,0,3,2,1,45
138,17,12,87,2,0,1,0,0,345688918,1,2996,0,274,0,3,1,1,45
139,11,12,80,2,0,1,0,0,346142469,1,7155,0,432,0,3,1,1,45
140,89,12,212,1,1,2,0,0,346143085,1,10189,0,5141,0,3,2,1,45
141,81,12,11,2,0,1,0,0,346142934,0,9968,0,8,2,1,2,1,45
142,74,12,11,2,0,1,0,0,346142890,0,3166,0,4988,0,3,2,1,45
143,95,12,98,3,0,1,0,0,346143133,1,9631,1,1278,1,0,3,1,45
144,9,12,204,8,0,3,1,0,346139945,0,214,0,2521,2,3,4,1,45
145,41,12,60,2,0,1,1,0,346142637,1,9721,0,3474,0,3,2,1,45
146,140,12,118,2,0,1,0,0,346143595,0,8792,0,452,1,2,1,1,45
147,167,12,55,3,0,1,1,0,346143795,1,10578,0,1225,1,0,2,1,45
148,56,12,95,3,0,1,1,0,346142707,1,3062,0,3984,2,3,2,1,45
149,32,12,89,2,0,1,0,0,346142611,1,3541,0,4766,0,3,2,1,45
150,189,12,150,1,1,2,0,0,345918688,1,6619,0,2248,0,3,1,1,45
151,123,12,162,2,0,1,0,0,346143512,1,7835,0,3421,2,3,1,1,45
152,170,12,73,3,0,3,0,0,346143804,0,840,1,3501,1,0,2,1,45
153,141,12,11,2,0,1,1,0,346143604,1,10933,0,179,1,0,2,1,45
154,58,12,26,2,0,1,0,0,346142711,1,2130,0,421,4,0,0,1,45
155,85,12,69,1,1,2,0,0,346143042,1,7118,0,2576,0,3,0,1,45
156,146,12,85,3,0,1,0,0,346143624,1,943,0,1299,1,0,0,1,45
157,79,12,62,2,0,1,0,0,346142930,1,1778,1,123,1,2,1,1,45
158,7,12,174,1,1,2,1,0,346142462,1,2488,0,5090,0,3,2,1,45
159,107,12,95,3,0,1,1,0,346143318,1,5084,0,1324,1,0,0,1,45
160,183,12,66,2,0,1,1,0,346143917,1,1665,0,3780,0,3,2,1,45
161,101,12,26,2,0,1,0,0,346143293,0,4352,0,1547,0,3,2,1,45
162,149,12,44,3,0,1,1,0,346143655,1,11748,1,5279,0,3,2,1,45
163,83,12,64,2,0,1,0,0,346142987,1,7538,1,8,2,1,3,1,45
164,75,12,75,2,0,1,0,0,346142907,1,4306,0,4615,0,3,2,1,45
165,93,12,55,2,0,1,0,0,346143120,1,2582,0,3711,0,3,2,1,45
166,97,12,55,3,0,1,0,0,346143145,0,3579,0,819,0,3,2,1,45
167,30,12,20,2,0,1,1,1,346142606,0,10364,0,5116,0,3,2,1,45
168,48,12,61,8,0,3,0,0,346142651,1,10901,0,445,0,3,4,1,45
169,177,12,6,2,0,1,1,0,346143880,1,9979,0,1925,4,0,3,0,697
170,68,12,54,2,0,1,0,0,346142824,1,10826,0,3239,3,0,2,1,45
171,117,12,15,3,0,1,0,0,346143436,0,7353,0,1259,1,0,2,1,45
172,88,12,168,3,0,1,0,0,346143068,1,11421,0,4119,2,3,2,1,45
173,54,12,231,2,0,1,0,0,346142695,0,11230,0,2767,2,3,2,1,45
174,116,12,181,3,0,1,0,0,346143398,1,2277,0,4034,0,3,2,1,45
175,94,12,127,1,1,2,0,0,345952895,0,2490,0,533,1,2,2,1,45
176,77,12,122,8,0,3,1,0,346142919,1,9888,0,490,1,2,4,1,45
177,21,12,11,3,0,1,0,0,346142552,1,9900,0,8,2,1,2,1,45
178,82,12,74,2,0,1,0,0,346008498,1,8498,0,145,1,2,1,1,45
179,59,12,29,3,0,1,0,0,346142712,1,12009,0,1284,1,0,0,1,45
180,199,12,13,2,0,1,0,0,346143978,0,5632,0,297,0,3,2,1,45
181,168,12,24,1,1,2,0,0,346143800,0,303,0,1676,0,3,1,1,45
182,145,12,18,3,0,1,0,0,346143620,1,9790,0,1220,1,0,0,2,1977
183,137,12,133,1,1,2,0,0,345855877,1,11075,0,728,1,2,1,2,465
184,34,12,80,2,0,1,0,0,346142615,1,11919,1,4187,0,3,2,1,45
185,186,12,5,3,0,1,0,0,346143930,0,2393,0,4282,0,3,2,1,45
186,108,12,67,2,0,1,1,0,346143324,0,9982,0,3451,0,3,1,1,45
187,169,12,42,2,0,1,1,0,346143802,1,8270,0,4334,0,3,2,1,45
188,22,12,30,2,0,1,1,0,346142587,0,7927,1,5262,0,3,1,1,45
189,109,12,71,8,0,3,0,0,346143326,1,11954,0,469,0,3,4,1,45
190,92,12,32,3,0,1,0,0,346143090,0,5,0,1219,1,0,0,1,45
191,115,12,31,2,0,1,0,0,346143396,0,10364,0,8,2,1,2,1,45
192,122,12,4,3,0,1,0,0,346143511,1,6998,1,1236,1,0,1,0,104
193,114,12,11,2,0,1,1,0,346143385,1,11273,0,8,2,1,3,1,45
194,111,12,11,2,0,1,0,0,346143357,0,9904,0,4841,1,0,2,2,1977
195,51,12,65,2,0,1,0,0,346142678,0,1939,0,4448,0,3,2,1,45
196,152,12,28,3,0,1,0,0,346143663,1,11765,0,1264,1,0,1,1,45
197,19,12,35,3,0,1,1,0,346142481,0,6384,0,1314,1,0,0,2,465
198,147,12,86,2,0,1,0,0,346128234,1,5780,0,1042,0,3,2,2,465
199,175,12,94,3,0,1,0,0,346143877,1,8112,0,1240,1,0,0,1,45
200,504,15,4,3,0,1,0,0,346144594,0,2157,0,1236,1,0,1,0,104
201,480,15,19,3,0,1,0,0,346144555,0,192,0,2395,1,0,0,0,104
202,418,15,155,1,1,2,1,0,346144442,1,6455,1,4618,2,3,1,0,104
203,655,15,41,3,0,1,0,0,346144916,1,5433,0,1230,1,0,1,0,104
204,792,15,7,1,1,2,0,0,345925668,0,1704,1,2578,0,3,1,0,104
205,512,15,44,3,0,1,0,0,346144611,1,3322,1,3976,1,0,0,0,104
206,715,15,21,2,0,1,0,0,346145037,0,1843,0,5319,0,3,2,0,104
207,738,15,155,2,0,1,1,0,346145081,1,5916,1,4314,0,3,2,0,104
208,672,15,138,2,0,1,0,0,346144941,0,635,0,1492,1,2,1,0,104
209,479,15,58,3,0,1,1,0,346144550,1,4022,0,1226,1,0,3,0,697
210,288,15,56,3,0,1,0,0,346144185,0,1381,0,3348,1,0,2,0,104
211,570,15,11,2,0,1,1,0,346144727,1,10479,0,8,2,1,2,0,104
212,842,15,9,3,0,1,0,0,346145276,1,887,1,1237,1,0,1,0,104
213,509,15,107,3,0,1,0,0,346144606,0,2830,0,3122,0,3,2,0,104
214,321,15,49,2,0,1,0,0,346144280,1,8038,0,4326,0,3,2,0,104
215,345,15,9,2,0,1,1,0,346144316,1,9908,0,425,1,0,2,0,104
216,311,15,9,3,0,1,0,0,346144253,1,5273,0,3810,2,3,2,0,104
217,266,15,49,3,0,1,0,0,346144142,0,3564,0,5245,0,3,2,0,104
218,754,15,41,3,0,1,0,0,346145108,1,8519,1,1230,1,0,1,0,104
219,317,15,41,3,0,1,0,0,346144267,1,301,1,1230,1,0,2,0,104
220,498,15,38,3,0,1,1,0,346144583,0,9932,0,1224,1,0,0,0,104
221,393,15,1,3,0,1,0,0,346139840,0,5429,1,1217,1,0,1,0,104
222,452,15,73,3,0,1,0,0,346144503,0,1239,0,3501,1,0,1,0,104
223,217,15,201,2,0,1,1,0,346144035,0,3802,0,5285,0,3,2,0,104
224,398,15,35,2,0,1,0,0,346144410,1,5067,0,4785,0,3,2,0,104
225,511,15,4,3,0,1,0,0,346144608,1,2981,0,1236,1,0,2,0,104
226,496,15,54,2,0,1,1,0,346144581,0,10411,0,8,2,1,0,0,104
227,215,15,216,8,0,3,0,0,346144031,1,12406,0,3333,2,3,4,0,697
228,817,15,13,3,0,1,0,0,346145234,1,3112,0,1246,1,0,0,0,104
229,465,15,26,2,0,1,0,0,346144528,1,11481,0,421,4,0,0,0,104
230,435,15,74,2,0,1,0,0,346144476,1,11417,1,145,1,2,1,0,104
231,255,15,183,3,0,1,0,0,346144121,1,190,0,2383,1,2,2,0,104
232,339,15,196,2,0,1,1,0,346144309,1,4048,0,4355,0,3,2,0,104
233,208,15,22,8,0,3,1,0,346144015,1,11620,0,4372,0,3,4,0,697
234,528,15,97,3,0,1,0,0,346144644,1,8124,0,1271,1,0,0,0,104
235,631,15,52,2,0,1,0,1,345937456,0,7235,1,614,0,3,2,0,104
236,688,15,32,3,0,1,0,0,346144983,1,4159,0,1219,1,0,1,0,104
237,692,15,58,3,0,1,0,0,346144989,1,4357,0,1474,0,3,2,0,104
238,383,15,224,8,0,3,0,0,346144384,1,10206,0,3439,2,3,4,0,697
239,207,15,15,3,0,1,0,0,346144008,1,6434,1,1259,1,0,2,0,104
240,559,15,43,2,0,1,1,0,346144708,1,1388,0,3416,0,3,2,0,104
241,614,15,228,2,0,1,1,0,346144831,0,10819,0,3114,0,3,2,0,104
242,462,15,56,2,0,1,0,0,346144524,1,1264,0,3180,0,3,2,0,104
243,247,15,12,2,0,1,0,0,346144093,1,9296,1,4110,2,3,2,0,104
244,654,15,84,1,1,2,0,0,346144912,0,2529,0,2846,0,3,2,0,104
245,233,15,94,3,0,1,0,0,346144068,1,1,0,2843,1,0,0,0,104
246,308,15,97,2,0,1,0,0,346144245,0,12104,0,5294,0,3,2,0,104
247,338,15,11,2,0,1,0,0,346144308,1,4678,0,8,2,1,2,0,104
248,633,15,1,2,0,1,0,0,346144863,0,10841,0,104,1,0,2,0,104
249,314,15,13,3,0,1,0,0,346144260,0,10407,0,1246,1,0,0,0,104
250,293,15,35,3,0,1,0,0,346144209,1,4379,0,1314,1,0,0,0,104
251,812,15,92,2,0,1,0,0,346145222,1,7093,1,203,1,2,2,0,104
252,225,15,26,2,0,1,1,0,346144053,1,2480,1,4036,0,3,3,0,697
253,759,15,95,3,0,1,0,0,346145116,1,479,1,1324,1,0,2,0,104
254,521,15,9,2,0,1,0,0,346144632,1,7002,0,8,2,1,2,0,104
255,612,15,150,2,0,1,0,0,346144828,1,5130,1,3018,2,3,0,0,104
256,327,15,0,2,0,1,0,0,346144287,1,1423,0,8,2,1,2,0,104
257,402,15,41,3,0,1,0,0,346144415,1,4491,0,3955,0,3,2,0,104
258,284,15,57,2,0,1,1,0,346144177,1,10833,0,1586,1,0,2,0,104
259,371,15,11,2,0,1,1,0,346144363,1,10352,0,17,1,0,2,0,104
260,532,15,164,8,0,3,0,0,346144656,1,10565,0,3200,2,3,4,0,697
261,545,15,67,2,0,1,0,0,346144680,1,2479,0,500,0,3,2,0,104
262,385,15,26,3,0,1,0,0,346144387,1,5011,0,5297,0,3,1,0,104
263,788,15,64,3,0,1,0,0,346145169,0,11958,0,1935,1,0,0,1,45
264,603,15,189,1,1,2,0,0,346144812,1,9754,0,3888,0,3,2,1,45
265,700,15,11,2,0,1,1,0,346145005,1,8723,0,17,1,0,2,1,45
266,550,15,11,2,0,1,0,0,346144688,1,10375,0,176,1,0,2,1,45
267,848,15,35,3,0,1,0,0,346145292,1,10141,0,1314,1,0,0,1,45
268,670,15,18,3,0,1,0,0,346144938,1,7983,1,1220,1,0,2,1,45
269,337,15,21,2,0,1,0,0,346144303,1,10843,0,4624,0,3,2,1,45
270,674,15,73,3,0,1,0,0,346144945,1,801,1,3501,1,0,0,1,45
271,747,15,85,2,0,1,0,0,346145096,1,5084,0,3941,0,3,2,1,45
272,575,15,11,2,0,1,0,0,346144739,1,11716,0,8,2,1,2,1,45
273,827,15,11,2,0,1,0,0,346145258,1,2276,0,100,1,0,2,1,45
274,849,15,78,3,0,1,0,0,346145293,1,10066,1,1253,1,0,1,1,45
275,523,15,1,3,0,1,0,0,346144636,0,729,0,1217,1,0,0,1,45
276,390,15,11,2,0,1,0,0,346144394,1,10680,0,8,2,1,2,1,45
277,680,15,88,2,0,1,1,0,346144964,1,10797,0,1652,1,0,2,1,45
278,503,15,51,3,0,1,0,0,346144593,1,2414,0,3616,0,3,2,1,45
279,296,15,132,8,0,3,0,0,346144215,1,46,1,726,1,2,4,1,45
280,851,15,171,3,0,1,0,0,346145299,1,10796,1,4446,0,3,2,1,45
281,853,15,7,2,0,1,0,0,346145301,0,4784,0,4559,0,3,2,1,45
282,391,15,11,2,0,1,1,0,346144395,1,9991,0,8,2,1,1,1,45
283,850,15,45,8,0,3,0,0,346145297,1,3116,1,5329,2,3,4,1,45
284,664,15,225,2,0,1,0,0,346144931,0,9908,0,3272,2,3,2,1,45
285,595,15,26,3,0,1,0,0,346144786,1,2231,1,401,0,3,1,1,45
286,684,15,9,2,0,1,1,0,346144975,0,9906,0,464,1,0,2,1,45
287,686,15,11,2,0,1,1,0,346144977,1,10600,0,106,1,0,2,1,45
288,319,15,24,2,0,1,1,0,346144269,1,10837,0,4136,0,3,2,1,45
289,547,15,94,3,0,1,1,0,346144684,0,9906,0,2843,1,0,2,1,45
290,795,15,34,3,0,1,1,0,346145185,1,11565,0,1249,1,0,0,1,45
291,405,15,54,2,0,1,1,0,346144423,0,8004,0,8,2,1,2,1,45
292,578,15,95,3,0,1,1,0,346072204,0,5593,1,2539,0,3,1,1,45
293,487,15,46,2,0,1,0,0,346144566,1,105,0,1951,0,3,2,1,45
294,854,15,64,8,0,3,0,0,346145302,1,2409,0,3808,2,3,4,1,45
295,839,15,1,3,0,1,0,0,346145271,1,6367,0,1217,1,0,0,1,45
296,214,15,6,3,0,1,0,0,346144030,1,10365,0,1319,1,0,0,1,45
297,307,15,21,2,0,1,1,0,346144238,0,10365,0,180,1,0,2,1,45
298,679,15,57,2,0,1,1,0,346144962,1,9903,0,355,1,0,2,1,45
299,799,15,0,2,0,1,0,0,346145193,0,132,0,8,2,1,1,1,45
300,794,15,33,3,0,1,0,0,346145183,1,1037,0,1573,0,3,2,1,45
301,373,15,11,2,0,1,1,0,346144368,1,1036,0,8,2,1,2,1,45
302,490,15,60,1,1,2,0,0,345952384,1,615,0,1901,0,3,2,1,45
303,439,15,73,3,0,3,0,0,346144482,1,10447,1,3501,1,0,4,1,45
304,580,15,13,3,0,1,0,0,346144753,0,3945,0,1246,1,0,0,1,45
305,454,15,9,3,0,1,0,0,346144507,1,6227,0,1237,1,0,3,1,45
306,659,15,11,2,0,1,1,0,346144922,1,8862,0,23,1,0,2,1,45
307,627,15,32,3,0,1,1,0,346144855,1,9007,0,1219,1,0,0,1,45
308,857,15,78,2,0,1,0,0,346145307,1,9162,0,5331,2,3,1,1,45
309,825,15,1,3,0,1,0,0,346145252,1,8707,1,1217,1,0,3,1,45
310,841,15,4,3,0,1,0,0,346145275,1,4117,0,1236,1,0,0,1,45
311,220,15,54,2,0,1,1,0,346144041,1,4259,0,8,2,1,2,1,45
312,590,15,98,3,0,1,0,0,346144775,1,4454,0,328,1,0,2,1,45
313,404,15,38,3,0,1,0,0,346144421,1,10982,0,1255,1,0,0,1,45
314,852,15,61,2,0,1,0,0,346124143,0,96,0,1069,0,3,1,1,45
315,222,15,201,3,0,1,1,0,346144046,0,6293,1,2815,2,3,2,1,45
316,213,15,11,2,0,1,1,0,346144028,1,4143,0,8,2,1,2,1,45
317,574,15,57,3,0,1,1,0,346144737,0,3032,0,3021,1,0,0,1,45
318,221,15,11,2,0,1,1,0,346144043,0,10821,0,8,2,1,2,1,45
319,694,15,55,8,0,3,0,0,346144992,1,1751,0,628,0,3,4,1,45
320,332,15,41,3,0,1,0,0,346144295,1,743,0,1230,1,0,2,1,45
321,663,15,199,2,0,1,1,0,345964113,1,7926,0,2920,2,3,2,1,45
322,354,15,34,3,0,1,1,0,346144334,1,2759,0,1249,1,0,0,1,45
323,813,15,18,3,0,1,0,0,346145224,0,10350,0,1220,1,0,0,1,45
324,295,15,90,8,0,3,0,0,346144213,1,1326,0,196,1,2,4,1,45
325,682,15,95,3,0,1,0,0,346144967,0,2644,0,1324,1,0,2,1,45
326,685,15,22,2,0,1,0,0,346144976,0,10349,0,103,1,0,2,1,45
327,858,15,41,2,0,1,0,0,346145308,1,10899,0,2676,0,3,1,1,45
328,600,15,20,1,1,2,1,0,346144803,1,10818,0,486,0,3,2,1,45
329,779,15,235,2,0,1,1,0,346145147,0,3096,0,4424,2,3,2,1,45
